ID,playerid,name,Playerfit,foot,moveGK,GKS,Ingso,Competetion,HeiGK,Dec,lpbg,la9,la6,rnoGroup,Solsbgopponent,positiondef,nmovGK,SRGK1,SRGK2,SRGK3,SRGK4,SRGK5,SRGK6,Choice,av_1,av_2,av_3,av_4,av_5,av_6,Shothardness,tappedtheball,ImportantnessGame,Importantnessgamegrouped,specialMatch,lastGKdive,CluborNationalTeam,competition,Minute,secondlastpenalty,secondlastGKdive,JColourPlayer,JColourGK,Great GK?,Status,Great_GK,foot_cat,mvmtGK_cat,standposGK_cat,ingameshoot_cat,compleague_cat,decider_cat,lastpenaltygoal_cat,lastpenaldir_cat,roundnogroup_cat,heightGK_cat,posdef_cat,GKmvmttyp_cat,opplstpengoal_cat,shothardness_cat,tappedball_cat,gameimportance_cat,specialmatch_cat,lastGKdive_cat,clubornational_cat,compCup_cat,compECC_cat,compNational_cat,compQuali_cat,jerseygreyGK_cat,jerseyredGK_cat,jerseyblackGK_cat,jerseyblueGK_cat,jerseygreenGK_cat,jerseyyellowGK_cat,jerseyorangeGK_cat,jerseygoldPL_cat,jerseyblackPL_cat,jerseywhitePL_cat,jerseypinkPL_cat,jerseypurplePL_cat,jerseyredPL_cat,jerseygreenPL_cat,secondlastGKdivedir_cat,secondlastpen_cat
1,1,Abidal,2,L,no,central,Shootout,WM,192,no,null,null,null,Final,Goal,DF,still,0.066174213,0.038768731,0.033794629,0.172525267,0.247927236,0.18871971,4,1,1,1,1,1,1,normal,no,5,normal,yes,null,National Team,WM,null,null,null,White,Gold,yes,Goal,yes,0,0,2,1,0,0,0,0,0,11,1,2,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,Abreu,1,L,no,central,Shootout,WM,193,yes,null,null,null,Quarter-Final,Saved,ST,still,0.066820764,0.110984848,0.034124818,0.174210916,0.250349596,0.190563586,5,1,1,1,1,1,1,weak,no,4,normal,no,null,National Team,WM,null,null,null,Blue,Black,no,Goal,no,0,0,2,1,0,1,0,0,0,12,0,2,2,3,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Adams,1,R,jumping on spot,slightly left,Shootout,Cup,187,no,null,null,null,2,Goal,DF,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,3,1,1,1,1,1,1,normal,no,3,important,no,null,Club,Cup,null,null,null,Blue,Green,no,Missed,no,1,2,1,1,0,0,0,0,0,6,1,1,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,Adamyan,1,R,jumping on spot,central,Shootout,Cup,187,no,null,null,null,2,Goal,ST,moving,0.062941454,0.108712121,0.032143686,0.164097021,0.235815435,0.179500329,4,1,1,1,1,1,1,normal,yes,3,important,no,null,Club,Cup,null,null,null,Blue,Green,no,Goal,no,1,2,2,1,0,0,0,0,0,6,0,1,1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5,Adiyiah,1,R,no,central,Shootout,WM,190,no,null,null,null,Quarter-Final,Missed,ST,still,0.064881109,0.109848485,0.033134252,0.169153968,0.243082515,0.185031958,6,1,1,1,1,1,1,normal,yes,4,important,no,null,National Team,WM,null,null,null,Red,Yellow,no,Saved,no,1,0,2,1,0,0,0,0,0,9,0,2,2,2,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,6,AgÃ_ero,3,R,no,central,Ingame,League,191,no,null,null,null,null,null,ST,still,0.065527661,0.110227273,0.033464441,0.170839617,0.245504876,0.186875834,4,1,1,1,1,1,1,normal,no,3,important,no,null,Club,League,45,null,null,Red,Yellow,no,Goal,no,1,0,2,0,1,0,0,0,0,10,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,6,AgÃ_ero,3,R,no,central,Ingame,League,183,no,Goal,7,4,null,null,ST,still,0.060355247,0.10719697,0.030822931,0.157354424,0.226125994,0.172124825,6,1,1,1,1,1,1,normal,no,3,important,no,Left,Club,League,30,null,null,Red,Black,no,Missed,no,1,0,2,0,1,0,2,4,0,2,0,2,0,2,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8,6,AgÃ_ero,3,R,step right,central,Ingame,League,182,no,Missed,9,6,null,null,ST,moving,0.059708695,0.106818182,0.030492742,0.155668775,0.223703633,0.170280948,5,1,1,1,1,1,1,strong,no,3,important,no,Left,Club,League,75,Goal,Left,Blue,Green,no,Goal,no,1,3,2,0,1,0,1,6,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
9,6,AgÃ_ero,3,R,step right,slightly right,Ingame,League,186,no,Goal,8,5,null,null,ST,moving,0.062294902,0.108333333,0.031813497,0.162411371,0.233393074,0.177656453,5,1,1,1,1,1,1,weak,no,3,normal,no,Right,Club,League,60,Missed,Left,Red,Blue,no,Goal,no,1,3,3,0,1,0,2,5,0,5,0,1,0,3,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2
10,6,AgÃ_ero,3,R,no,central,Ingame,League,188,no,Goal,8,5,null,null,ST,still,0.063588006,0.109090909,0.032473875,0.16578267,0.238237795,0.181344206,6,1,1,1,1,1,1,normal,no,3,important,no,Right,Club,League,69,Goal,Right,Red-White,Black,no,Goal,no,1,0,2,0,1,0,2,5,0,7,0,2,0,2,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
